"시점",선행종합지수(2020=100),선행종합지수 전월비(%),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),선행지수 순환변동치,〔순환변동치 전월차〕(p),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),동행종합지수(2020=100),동행종합지수 전월비(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),동행지수 순환변동치,〔순환변동치 전월차〕(p),후행종합지수(2020=100),후행종합지수 전월비(%),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p)
"2019.06",95.7,0.0,-1.6,-0.6,-0.7,-17.3,0.3,-0.9,-0.10,98.9,-0.2,1.5,-0.1,99.5,0.2,0.5,-0.1,0.9,-0.8,0.2,0.9,0.0,99.4,0.0,97.8,0.2,0.7,0.0,-2.1,0.0,0.0
"2019.07",95.7,0.0,-0.6,-1.9,-1.5,-10.5,0.2,-2.1,-0.08,98.6,-0.3,1.3,-0.2,99.7,0.2,0.4,0.1,0.2,-0.4,0.0,1.1,0.0,99.5,0.1,98.0,0.2,0.9,0.0,0.0,0.1,0.0
"2019.08",95.9,0.2,1.5,-1.0,-0.4,-1.7,0.3,-2.3,-0.09,98.5,-0.1,1.4,0.1,100.0,0.3,0.0,0.3,-0.2,0.6,0.9,-0.1,0.1,99.6,0.1,98.3,0.3,0.0,0.1,0.7,0.2,-0.1
"2019.09",96.2,0.3,-0.2,-0.2,0.5,21.4,-0.3,-1.0,0.02,98.5,0.0,1.7,0.3,100.3,0.3,1.0,0.5,-1.2,0.2,0.6,-0.4,0.1,99.7,0.1,98.6,0.3,0.7,-0.2,2.4,0.2,-0.1
"2019.10",96.8,0.6,0.1,0.4,2.9,19.7,0.1,-0.2,0.10,98.9,0.4,2.2,0.5,100.5,0.2,0.0,0.3,-0.2,0.5,-0.2,-0.5,0.3,99.8,0.1,98.7,0.1,-0.3,-0.1,-0.6,0.3,-0.1
"2019.11",97.4,0.6,0.9,1.1,0.3,11.5,-0.5,3.0,0.21,99.2,0.3,2.7,0.5,100.5,0.0,0.7,0.0,-1.8,0.2,-0.4,-0.8,0.2,99.6,-0.2,98.8,0.1,0.4,-0.1,-3.0,0.2,0.0
"2019.12",98.0,0.6,4.6,0.3,2.3,-1.3,-0.5,1.6,0.12,99.5,0.3,3.2,0.5,101.2,0.7,0.6,0.4,1.3,1.5,0.3,0.1,0.3,100.1,0.5,99.1,0.3,-1.2,0.0,1.3,0.4,0.0
"2020.01",98.4,0.4,0.2,1.5,0.1,-8.0,-0.7,2.2,0.04,99.5,0.0,3.4,0.2,101.6,0.4,-0.5,1.3,0.2,0.1,-0.6,0.9,0.3,100.3,0.2,99.4,0.3,0.1,-0.1,-1.5,0.4,0.0
"2020.02",98.7,0.3,-1.0,-1.6,0.9,4.0,0.6,0.6,-0.06,99.5,0.0,3.6,0.2,101.0,-0.6,-1.5,0.0,1.5,-2.4,-2.7,-0.5,0.1,99.6,-0.7,99.6,0.2,0.4,-0.2,-0.8,0.2,0.0
"2020.03",98.5,-0.2,-3.3,-8.8,-0.6,-8.2,2.1,-5.5,0.03,99.1,-0.4,3.3,-0.3,100.0,-1.0,-0.8,-1.9,-0.5,-3.2,-1.5,3.0,-0.9,98.4,-1.2,99.5,-0.1,0.8,-0.2,-3.0,-0.8,0.0
"2020.04",98.5,0.0,-0.2,-12.1,0.0,-7.2,3.4,-5.7,0.10,98.8,-0.3,3.1,-0.2,99.1,-0.9,-0.7,-3.2,-0.1,-0.9,-0.5,3.2,-1.3,97.3,-1.1,99.4,-0.1,0.1,-0.1,0.2,-1.3,0.1
